Cage,Strain,AnimalName,Parameter,Width,Length,Sex
R03496,Athymic Nude,34030,Left,0,0,F
R03496,Athymic Nude,34030,Right,0,0,F
R03496,Athymic Nude,34031,Left,0,0,F
R03496,Athymic Nude,34031,Right,0,0,F
R03496,Athymic Nude,34032,Left,0,0,F
R03496,Athymic Nude,34032,Right,0,0,F
R03519,NOG,34088,Right,16.59457743,20.74322178,F
R03519,NOG,34088,Left,44.08820704,55.1102588,F
R03519,NOG,34089,Left,0,0,F
R03519,NOG,34089,Right,22.5501663,28.18770787,F
R03519,NOG,34090,Right,0,0,M
R03519,NOG,34090,Left,25.39547204,31.74434005,M
R03519,NOG,34091,Left,0,0,M
R03519,NOG,34091,Right,9.293008124,11.61626016,M
R03519,NOG,34092,Left,17.33810832,21.6726354,M
R03519,NOG,34092,Right,28.60891469,35.76114337,M
R03520,NOG,34094,Left,16.77587554,20.96984442,M
R03520,NOG,34094,Right,20.59368835,25.74211044,F
R03520,NOG,34095,Left,17.86616915,22.33271143,F
R03520,NOG,34095,Right,27.15511002,33.94388752,M
R03520,NOG,34096,Right,25.99903844,32.49879805,M
R03520,NOG,34096,Left,33.25868308,41.57335385,F
R03520,NOG,34097,Left,0,0,F
R03520,NOG,34097,Right,27.69133438,34.61416798,F
R04039,NOG,34450,Right,5.557877293,6.947346616,F
R04039,NOG,34450,Left,5.790509477,7.238136846,F
R04039,NOG,34451,Right,4.884669897,6.105837371,M
R04039,NOG,34451,Left,11.16064514,13.95080643,M
R04039,NOG,34452,Right,4.070626487,5.088283109,M
R04039,NOG,34452,Left,7.822403723,9.778004653,M
R04039,NOG,34453,Left,5.920304046,7.400380058,M
R04039,NOG,34453,Right,8.271033793,10.33879224,M
R04039,NOG,34454,Right,5.31789432,6.6473679,F
R04039,NOG,34454,Left,5.400925847,6.751157308,F
R04280,NOG,39000,Left,0,0,F
R04280,NOG,39000,Right,0,0,F
R04280,NOG,39001,Left,0,0,F
R04280,NOG,39001,Right,0,0,F
R04280,NOG,39002,Left,0,0,F
R04280,NOG,39002,Right,0,0,F
R04280,NOG,39003,Left,0,0,F
R04280,NOG,39003,Right,0,0,F
R04280,NOG,39004,Left,0,0,F
R04280,NOG,39004,Right,0,0,F
R04281,NOG,39005,Left,0,0,F
R04281,NOG,39005,Right,0,0,F
R04281,NOG,39006,Left,0,0,F
R04281,NOG,39006,Right,0,0,F
R04281,NOG,39007,Left,0,0,F
R04281,NOG,39007,Right,0,0,F
R04281,NOG,39008,Left,0,0,F
R04281,NOG,39008,Right,0,0,F
R04281,NOG,39009,Left,0,0,F
R04281,NOG,39009,Right,0,0,F
R04807,NOG,39091,Right,7.734985456,9.66873182,F
R04807,NOG,39091,Left,20.52413214,25.65516517,F
R04807,NOG,39093,Left,0,0,F
R04807,NOG,39093,Right,0,0,F
R04807,NOG,39094,Left,0,0,M
R04807,NOG,39094,Right,0,0,M
R04831,NOG,39110,Right,33.66971933,42.08714917,M
R04831,NOG,39110,Left,37.70954786,47.13693483,M
R04831,NOG,39111,Left,27.62842739,34.53553424,M
R04831,NOG,39111,Right,28.57218928,35.71523659,M
R04831,NOG,39112,Left,20.66518812,25.83148515,M
R04831,NOG,39112,Right,48.04612367,60.05765459,M
R04831,NOG,39113,Left,25.83369892,32.29212365,M
R04831,NOG,39113,Right,26.89609637,33.62012046,M
R04831,NOG,39114,Left,22.78661888,28.4832736,M
R04831,NOG,39114,Right,29.39319649,36.74149561,M
R04832,NOG,39115,Right,37.12478956,46.40598695,M
R04832,NOG,39115,Left,45.3273648,56.659206,M
R04832,NOG,39116,Right,18.77844509,23.47305636,M
R04832,NOG,39116,Left,30.62123446,38.27654308,M
R04832,NOG,39117,Right,15.52224211,19.40280263,M
R04832,NOG,39117,Left,17.68275997,22.10344996,M
R04832,NOG,39118,Left,19.33106309,24.16382886,M
R04832,NOG,39118,Right,23.25919173,29.07398966,M
R04832,NOG,39119,Right,13.88560406,17.35700507,M
R04832,NOG,39119,Left,25.7196423,32.14955287,M
R04833,NOG,39120,Right,14.04279175,17.55348968,M
R04833,NOG,39120,Left,37.95734448,47.4466806,M
R04833,NOG,39121,Left,13.69634988,17.12043735,M
R04833,NOG,39121,Right,27.58532218,34.48165273,M
R04833,NOG,39122,Left,21.57521726,26.96902158,M
R04833,NOG,39122,Right,23.65797963,29.57247453,M
R04833,NOG,39123,Left,23.74910525,29.68638156,M
R04833,NOG,39123,Right,28.73047163,35.91308954,M
R04834,NOG,39126,Right,17.57868027,21.97335034,M
R04834,NOG,39126,Left,20.7708931,25.96361637,F
R04834,NOG,39127,Right,32.00734291,40.00917863,F
R04834,NOG,39127,Left,32.18493436,40.23116795,F
R04834,NOG,39128,Left,20.95447446,26.19309308,F
R04834,NOG,39128,Right,28.86347172,36.07933966,F
R04834,NOG,39129,Left,25.57244611,31.96555764,F
R04834,NOG,39129,Right,39.05393706,48.81742133,F
R05059,Athymic Nude,39176,Right,0,0,F
R05059,Athymic Nude,39176,Left,36.79374947,45.99218684,F
R05059,Athymic Nude,39177,Right,11.27696768,14.0962096,F
R05059,Athymic Nude,39177,Left,22.57985828,28.22482285,F
R05059,Athymic Nude,39178,Right,0,0,F
R05059,Athymic Nude,39178,Left,15.70382119,19.62977649,F
R05059,Athymic Nude,39179,Left,34.32142188,42.90177735,F
R05059,Athymic Nude,39179,Right,39.83754511,49.79693138,F
R05065,Athymic Nude,39202,Left,31.38200121,39.22750151,F
R05065,Athymic Nude,39202,Right,36.34515098,45.43143873,F
R05065,Athymic Nude,39203,Right,18.12870652,22.66088315,F
R05065,Athymic Nude,39203,Left,26.08294462,32.60368077,F
R05066,Athymic Nude,39206,Right,6.833008122,8.541260153,F
R05066,Athymic Nude,39206,Left,34.80818869,43.51023586,F
R05066,Athymic Nude,39208,Left,22.63161506,28.28951882,F
R05066,Athymic Nude,39208,Right,26.15090821,32.68863526,F
R05067,Athymic Nude,39210,Right,6.717886572,8.397358216,F
R05067,Athymic Nude,39210,Left,9.836666102,12.29583263,F
R05067,Athymic Nude,39214,Left,22.79363946,28.49204933,F
